Bloque,Siglas,Nombre,Creditos,Horas,Requisitos,Correquisitos,Area Disciplina
0,CI0200,Examen Diagnostico,0,0,N/A,N/A,N/A
0,CI0202,Ingles Basico,2,3,N/A,N/A,N/A
1,AI1100,Introduccion a la Ingenieria Ambiental,3,9,N/A,N/A,General
1,BI1105,Biologia General para Ingenieria Ambiental,3,9,N/A,BI1106,Formacion Basica
1,BI1106,Laboratorio de Biologia General para Ingenieria Ambiental,1,3,N/A,BI1105,Formacion Basica
1,CI1106,Comunicacion Escrita,2,6,N/A,N/A,Formacion Basica
1,CI1230,Ingles 1,2,6,"CI0200,CI0202",N/A,Formacion Basica
1,CS1502,Introduccion a la Tecnica Ciencia y Tecnologia,1,2,N/A,N/A,Formacion Basica
1,MA0101,Matematica General,2,5,N/A,N/A,Formacion Basica
1,QU1102,Laboratorio de Quimica Basica 1,1,2,N/A,QU1106,Formacion Basica
1,QU1106,Quimica Basica 1,3,4,N/A,QU1102,Formacion Basica
2,AI2101,Analisis Estadistico para Ingenieria Ambiental,3,9,MA0101,N/A,Formacion Basica
2,CI1107,Comunicacion Oral,1,3,CI1106,N/A,Formacion Basica
2,CI1231,Ingles 2,2,3,CI1230,N/A,Formacion Basica
2,FH1000,Centros de Formacion humanistica,0,2,N/A,N/A,Formacion Basica
2,FI1101,Fisica General 1,3,4,N/A,"FI1201,MA1102",Formacion Basica
2,FI1201,Laboratorio Fisica General 1,1,2,N/A,FI1101,Formacion Basica
2,MA1102,Calculo Diferencial e Integral,4,5,MA0101,N/A,Formacion Basica
2,QU1104,Laboratorio de Quimica Basica 2,1,2,"QU1102,QU1106",QU1107,Formacion Basica
2,QU1107,Quimica Basica 2,3,4,"QU1102,QU1106",QU1104,Formacion Basica
3,AI3104,Ecosaneamiento Ambiental,1,3,BI1105,N/A,Gestion del recurso hidrico
3,CA2125,Elementos de Computacion,3,4,AI1100,N/A,Formacion Basica
3,FI2103,Fisica General 3,3,4,"FI1101,MA1102",N/A,Formacion Basica
3,MA1103,Calculo y Algebra Lineal,4,4,MA1102,N/A,Formacion Basica
3,QU2604,Quimica Ambiental y Analitica,3,9,QU1107,QU2605,Formacion Basica
3,QU2605,Laboratorio de Quimica Ambiental y Analitica,3,9,"AI2101,QU1104",QU2604,Formacion Basica
